symbol,timestamp,event_type,meta,price_change_5m,volume_spike_5m,price_change_15m,volume_spike_15m,heat_index,macd_bullish_5m,macd_bullish_15m,rsi_15m,rsi_5m,alert_sent,alert_type,rejected,signal_score,context,hour,meta_reason,meta_gain,meta_drop,momentum_hour
TUTUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
TAUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
ALCHUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},0.25946704067321824,0.6701648507523829,-0.23726448011165874,0.4897245472846347,1.7,,,,,False,,['below_heat_price_min'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'rising', 'time_of_day_utc': 6}",6,,,,6
MELANIAUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
ESPORTSUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
ZORAUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
SQDUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},0.6333695258776748,2.036260674007117,1.1460796798253567,1.8044216780293887,11.0,True,False,42.62604009611649,44.60834231714693,True,Moderate 🟡,,8.0,"{'rsi_band_15m': 'mid', 'macd_alignment': '5m_only', 'heat_trend': 'falling', 'time_of_day_utc': 6}",6,,,,6
SAPIENUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
SOONUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
RESOLVUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},-0.267983074753187,0.634023065818651,-0.39442174954219256,1.1017879219296216,2.7,,,,,False,,['below_heat_price_min'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'rising', 'time_of_day_utc': 6}",6,,,,6
LABUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
ICNTUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
MAVIAUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
AIXBTUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
AKTUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
HYPEUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},0.17942193514712507,0.5129548477582369,0.10431947840260807,0.7484890925246682,1.0,,,,,False,,['below_heat_price_min'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'rising', 'time_of_day_utc': 6}",6,,,,6
COTIUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
PARTIUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},0.20691693762932492,0.8159888478706195,0.3749753305703625,0.7875581785729683,2.1,,,,,False,,['below_heat_price_min'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'falling', 'time_of_day_utc': 6}",6,,,,6
BEATUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},-0.04309880400819599,0.6834359875078637,-0.268730517037521,0.9629635198263694,1.2,,,,,False,,['below_heat_price_min'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'rising', 'time_of_day_utc': 6}",6,,,,6
TURTLEUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
SLERFUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},0.0,1.0,0.0,1.0,0.0,,,,,False,,['below_heat_price_min'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
CLOUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
FHEUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
ZKUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
MINAUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
ALTUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
SCRUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
STRKUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},-0.3350083752093898,1.7341216411333646,-0.16778523489933367,0.9950703363611714,3.1,,,,,False,,['below_heat_price_min'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'falling', 'time_of_day_utc': 6}",6,,,,6
LIGHTUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},0.10626992561106002,0.859500304006317,-0.2996122664786808,0.9259884041006061,1.5,,,,,False,,['below_heat_price_min'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'rising', 'time_of_day_utc': 6}",6,,,,6
MLNUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
METUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},0.2346630908481322,1.0474109861356176,0.7751937984496018,1.6899581386057965,6.0,,,,,False,,['below_heat_price_min'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'falling', 'time_of_day_utc': 6}",6,,,,6
TAKEUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
CROSSUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
PIPPINUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},4.137675795706892,0.9975725093247992,2.536920602427256,0.9633011739631642,22.6,False,False,42.32744807698121,39.281676478571306,False,,,6.0,"{'rsi_band_15m': 'mid', 'macd_alignment': 'none', 'heat_trend': 'rising', 'time_of_day_utc': 6}",6,,,,6
DMCUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
TOWNSUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
XPINUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
INUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
ZORAUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
AI16ZUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},0.0,1.0,0.0,1.0,0.0,,,,,False,,['below_heat_price_min'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
AIOTUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
COMMONUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
ATUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},0.17055144968731933,0.7797166588137934,0.6282124500285493,0.5450862554169023,3.0,,,,,False,,['below_heat_price_min'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'falling', 'time_of_day_utc': 6}",6,,,,6
HIPPOUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
ORDIUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
XANUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
TNSRUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,66.36993909101636,,False,,['rsi_above_ceiling'],,"{'rsi_band_15m': 'high', 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
ICPUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},0.4456824512534823,3.261912925951484,0.8386916410399845,2.383562862594517,13.4,False,False,44.22359787556183,63.85786187189222,False,,,7.0,"{'rsi_band_15m': 'mid', 'macd_alignment': 'none', 'heat_trend': 'falling', 'time_of_day_utc': 6}",6,,,,6
FLMUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
B2USDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
DASHUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},0.2076843198338555,1.0067898133180548,0.082970338104126,1.3955316290936997,2.2,,,,,False,,['below_heat_price_min'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'rising', 'time_of_day_utc': 6}",6,,,,6
ZENUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},-0.03136762860727848,1.4480964053819718,-0.1774530271398691,0.9260955572589142,1.7,,,,,False,,['below_heat_price_min'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'rising', 'time_of_day_utc': 6}",6,,,,6
SKYAIUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
SNXUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
USELESSUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},0.30241935483871835,0.7345251730208626,0.4036326942482457,0.6971833659409713,2.5,False,False,43.14379818635407,60.27770873008125,False,,,2.0,"{'rsi_band_15m': 'mid', 'macd_alignment': 'none', 'heat_trend': 'falling', 'time_of_day_utc': 6}",6,,,,6
1000RATSUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
KAVAUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
ARCUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},3.9807302231237194,2.714861609309432,1.7352503718393635,1.6961297656210141,24.4,False,False,24.114907551532824,25.455114209228555,False,,,7.0,"{'rsi_band_15m': 'low', 'macd_alignment': 'none', 'heat_trend': 'rising', 'time_of_day_utc': 6}",6,,,,6
CHILLGUYUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
BANANAS31USDT,2025-12-01 06:37:05.611222+00:00,generic,{},0.13721185510427542,1.0290996420860306,-0.13687380235422383,2.2809572939379437,4.9,,,,,False,,['below_heat_price_min'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'rising', 'time_of_day_utc': 6}",6,,,,6
FORMUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
FILUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},0.06839945280438522,1.1321338882194274,0.13689253935660517,0.7830591261759678,1.0,,,,,False,,['below_heat_price_min'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'falling', 'time_of_day_utc': 6}",6,,,,6
PROMPTUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
FFUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},-0.12379773354919066,1.438572976713392,-0.37997530160539333,0.635067100946861,2.8,,,,,False,,['below_heat_price_min'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'rising', 'time_of_day_utc': 6}",6,,,,6
BASUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
DIAUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
MYROUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
MEUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
UBUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
VANAUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
ENSOUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
AKEUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
PORT3USDT,2025-12-01 06:37:05.611222+00:00,generic,{},0.0,1.0,0.0,1.0,0.0,,,,,False,,['below_heat_price_min'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
XANUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
MAGICUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
RECALLUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
TAOUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},0.014872652909470334,2.6833062130647862,-0.04459143101334196,1.3076609613521246,4.5,,,,,False,,['below_heat_price_min'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'rising', 'time_of_day_utc': 6}",6,,,,6
4USDT,2025-12-01 06:37:05.611222+00:00,generic,{},0.7669616519174138,1.3506912774237252,-0.4663363450888966,1.836637926999062,7.4,False,False,48.37859412291579,57.13501072607019,False,,,3.0,"{'rsi_band_15m': 'mid', 'macd_alignment': 'none', 'heat_trend': 'rising', 'time_of_day_utc': 6}",6,,,,6
FARTCOINUSDT,2025-12-01 06:39:48.678173+00:00,momentum_continue,"{'price_gain_percent': 2.9023746701847117, 'total_gain_percent': 2.9023746701847117, 'current_price': 0.273, 'rsi_now': 40.03069616459385}",,,,,,,,,,False,,,,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,2.9023746701847117,,6
FARTCOINUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},0.961538461538479,4.025098649800451,1.2597258243794052,1.7357198737454622,16.2,False,True,40.03069616459385,63.73101228692026,True,Strong 🟢,,11.0,"{'rsi_band_15m': 'mid', 'macd_alignment': '15m_only', 'heat_trend': 'falling', 'time_of_day_utc': 6}",6,,,,6
XRPUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},0.3934103761986726,2.49419188434589,0.4526890714953439,1.0859730231759381,6.2,False,False,37.98270014462724,58.21810185588516,False,,,3.0,"{'rsi_band_15m': 'low', 'macd_alignment': 'none', 'heat_trend': 'falling', 'time_of_day_utc': 6}",6,,,,6
JELLYJELLYUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
DOGEUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},0.27056672760510525,1.570249566423355,0.27796064662423486,0.8714227708578208,3.1,,,,,False,,['below_heat_price_min'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'falling', 'time_of_day_utc': 6}",6,,,,6
1000PEPEUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},0.19403986201608855,0.9869890284599429,0.2420669159236858,0.622810442076141,1.6,,,,,False,,['below_heat_price_min'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'falling', 'time_of_day_utc': 6}",6,,,,6
ADAUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},0.23517115233864958,0.7816466973640819,0.26143790849673226,1.0184021260851346,1.8,,,,,False,,['below_heat_price_min'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'falling', 'time_of_day_utc': 6}",6,,,,6
PENGUUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},0.2787816210635104,1.3072983060993166,0.45510964004965493,0.684258277138308,3.3,,,,,False,,['below_heat_price_min'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'falling', 'time_of_day_utc': 6}",6,,,,6
1000BONKUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},0.33203572246392843,0.6161801911935021,0.539361946293323,0.6707908934926365,3.2,False,False,39.66059631934844,62.211436951435026,False,,,0.0,"{'rsi_band_15m': 'low', 'macd_alignment': 'none', 'heat_trend': 'falling', 'time_of_day_utc': 6}",6,,,,6
BLESSUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
BELUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
HANAUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
EVAAUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
AUCTIONUSDT,2025-12-01 06:37:05.611222+00:00,generic,{},,,,,,,,,,False,,['low_24h_volume'],,"{'rsi_band_15m': None, 'macd_alignment': 'none', 'heat_trend': 'steady', 'time_of_day_utc': 6}",6,,,,6
